FishID,cohort,pattern
MLL-1O8Y-0811,811,25
MLL-1P5B-0811,811,21
MLL-1P5G-0811,811,99
MLL-1P5K-0811,811,5
MLL-1P5O-0811,811,19
MLL-1P5P-0811,811,13
MLL-1P5V-0811,811,20
MLL-1P8G-0811,811,1
MLL-1V5K-0811,811,5
MLL-1V5O-0811,811,99
MLL-1V5V-0811,811,25
MLL-1V5Y-0811,811,20
MLL-1V7G-0811,811,22
MLL-1V7Y-0811,811,11
MLL-1Y5P-0811,811,18
MLL-1Y6O-0811,811,25
MLL-1Y6P-0811,811,25
MLL-1Y7B-0811,811,5
MLL-1R5K-0812,812,3
MLL-1R5V-0812,812,13
MLL-1R6K-0812,812,14
MLL-1R6V-0812,812,21
MLL-1R7R-0812,812,20
MLL-1R7V-0812,812,99
MLL-1R8G-0812,812,1
MLL-1R8K-0812,812,99
MLL-1R8R-0812,812,11
MLL-1V5R-0812,812,13
MLL-1V6K-0812,812,9
MLL-1V6R-0812,812,17
MLL-1V6V-0812,812,17
MLL-1V7K-0812,812,3
MLL-1V7R-0812,812,14
MLL-1V8K-0812,812,17
MLL-1V8R-0812,812,13
MLL-2R8R-0812,812,13
MLL-2R8V-0812,812,99
MLL-2V5K-0812,812,99
MLL-2V6K-0812,812,15
MLL-2V6R-0812,812,5
MLL-2V7K-0812,812,24
MLL-2V8K-0812,812,13
MLL-2V8R-0812,812,11
MLL-2V8V-0812,812,99
MLL-2V8Y-0812,812,23
MLL-3K5K-0812,812,13
MLL-3K5R-0812,812,22
MLL-3K6K-0812,812,8
MLL-3K7K-0812,812,99
MLL-3K7R-0812,812,28
MLL-1B7R-0901,901,15
MLL-1O2R5R-0901,901,11
MLL-1P6G-0901,901,25
MLL-1P6K-0901A,901,99
MLL-1P6K-0901B,901,3
MLL-1P6O-0901,901,27
MLL-1P6P-0901,901,7
MLL-1P6R-0901,901,9
MLL-1P6V-0901,901,6
MLL-1P6Y-0901,901,25
MLL-1P7B-0901,901,20
MLL-1P7R-0901,901,27
MLL-1P7V-0901,901,22
MLL-1P8R-0901,901,15
MLL-1R5Y-0901,901,9
MLL-1V6Y-0901,901,13
MLL-2R6B-0901,901,19
MLL-1P7G-0902,902,1
MLL-1P7K-0902,902,7
MLL-1P7O-0902,902,25
MLL-1P7P-0902,902,17
MLL-1P7Y-0902,902,6
MLL-1P8B-0902,902,15
MLL-1P8G-0902,902,31
MLL-1P8K-0902,902,15
MLL-1P8O-0902,902,15
MLL-1P8P-0902,902,5
MLL-1P8Y-0902,902,6
MLL-1R6G-0902,902,17
MLL-1R7G-0902,902,99
MLL-1R8B-0902,902,13
MLL-1V7B-0902,902,6
MLL-1Y5B-0902,902,13
MLL-1Y5G-0902,902,29
MLL-1Y5O-0902,902,11
MLL-1Y6B-0902,902,20
MLL-1Y6K-0902,902,5
MLL-2B7K-0902,902,25
MLL-2P6G-0902,902,25
MLL-1R5B-0903,903,25
MLL-1R6R-0903,903,7
MLL-1V2V5V-0903,903,2
MLL-1V5B-0903,903,2
MLL-1V6G-0903,903,22
MLL-1V8B-0903,903,2
MLL-1V8G-0903,903,99
MLL-1Y5V-0903,903,99
MLL-2G8B-0903,903,99
MLL-2G8Y-0903,903,99
MLL-2P7Y-0903,903,6
MLL-2V5R-0903,903,99
MLL-2V7R-0903,903,29
MLL-2V7Y-0903,903,7
MLL-2V8B-0903,903,3
MLL-2Y5G-0903,903,99
MLL-2Y5R-0903,903,99
MLL-2Y6R-0903,903,26
MLL-2Y6V-0903,903,3
MLL-2Y7G-0903,903,3
MLL-2Y8G-0903,903,99
MLL-2Y8Y-0903,903,24
MLL-3B5G-0903,903,99
MLL-3B5V-0903,903,9
MLL-3B6G-0903,903,19
MLL-3B8G-0903,903,99
MLL-3B8R-0903,903,13
MLL-3G7Y-0903,903,29
MLL-3G8V-0903,903,99
MLL-3G8Y-0903,903,22
MLL-1R5G-0904,904,1
MLL-1R6P-0904,904,1
MLL-1V5B-0904,904,2
MLL-1Y5R-0904,904,29
MLL-1Y8K-0904,904,7
MLL-2G7P-0904,904,6
MLL-2G7R-0904,904,20
MLL-2G8R-0904,904,18
MLL-2K5K-0904,904,25
MLL-2K7Y-0904,904,22
MLL-2K8G-0904,904,9
MLL-2K8Y-0904,904,99
MLL-2O8K-0904,904,99
MLL-2P7G-0904,904,9
MLL-2Y5B-0904,904,11
MLL-2Y5K-0904,904,2
MLL-2Y5Y-0904,904,17
MLL-2Y6K-0904,904,13
MLL-2Y6Y-0904,904,99
MLL-2Y7G-0904,904,17
MLL-2Y7K-0904,904,99
MLL-2Y7R-0904,904,13
MLL-2Y7Y-0904,904,99
MLL-2Y8B-0904,904,99
MLL-2Y8K-0904,904,5
MLL-2Y8R-0904,904,25
MLL-3B5B-0904,904,26
MLL-3B6P-0904,904,1
MLL-3B6Y-0904,904,5
MLL-3B7B-0904,904,28
MLL-3B7K-0904,904,17
MLL-3B8B-0904,904,22
MLL-3B8Y-0904,904,3
MLL-3G5B-0904,904,99
MLL-3G5G-0904,904,2
MLL-3G5K-0904,904,20
MLL-3G5P-0904,904,8
MLL-3G5R-0904,904,12
MLL-3G6G-0904,904,2
MLL-3G6K-0904,904,99
MLL-3G6Y-0904,904,99
MLL-3G7B-0904,904,24
MLL-3G7G-0904,904,25
MLL-3G7K-0904,904,28
MLL-3G7P-0904,904,18
MLL-3G7R-0904,904,7
MLL-3G7V-0904,904,17
MLL-3G8B-0904,904,99
MLL-3G8K-0904,904,18
MLL-3G8R-0904,904,15
MLL-3K5B-0904,904,99
MLL-3K5P-0904,904,20
MLL-3K5V-0904,904,8
MLL-3K5Y-0904,904,99
MLL-3K6G-0904,904,17
MLL-3K6P-0904,904,25
MLL-3K6V-0904,904,11
MLL-3K6Y-0904,904,6
MLL-3K7B-0904,904,27
MLL-3K7G-0904,904,9
MLL-3K7V-0904,904,11
MLL-1O7K-0905,905,27
MLL-1P8V-0905,905,99
MLL-1R6O-0905,905,28
MLL-1R7O-0905,905,27
MLL-1V8P-0905,905,17
MLL-1Y5K-0905,905,99
MLL-1Y7K-0905,905,23
MLL-1Y7P-0905,905,99
MLL-1Y7R-0905,905,3
MLL-1Y7V-0905,905,23
MLL-1Y8B-0905,905,17
MLL-1Y8G-0905,905,25
MLL-1Y8O-0905,905,21
MLL-1Y8P-0905,905,2
MLL-1Y8R-0905,905,27
MLL-1Y8V-0905,905,99
MLL-1Y8Y-0905,905,5
MLL-2B5B-0905,905,27
MLL-2B5G-0905,905,4
MLL-2B5O-0905,905,23
MLL-2B5P-0905,905,22
MLL-2B5R-0905,905,99
MLL-2B5V-0905,905,17
MLL-2B5Y-0905,905,25
MLL-2B6B-0905,905,5
MLL-2B6G-0905,905,25
MLL-2B6K-0905,905,5
MLL-2B6O-0905,905,11
MLL-2B6P-0905,905,15
MLL-2B6R-0905,905,17
MLL-2B6V-0905,905,11
MLL-2B6Y-0905,905,21
MLL-2B7B-0905,905,99
MLL-2B7G-0905,905,5
MLL-2B7O-0905,905,19
MLL-2B7P-0905,905,99
MLL-2B7R-0905,905,13
MLL-2G5P-0905,905,25
MLL-2K7O-0905,905,99
MLL-2K8R-0905,905,26
MLL-2O5P-0905,905,15
MLL-2O6G-0905,905,5
MLL-2O6K-0905,905,28
MLL-2O6O-0905,905,28
MLL-2O6P-0905,905,25
MLL-2O6R-0905,905,17
MLL-2O6V-0905,905,11
MLL-2O6Y-0905,905,23
MLL-2O7B-0905,905,28
MLL-2O7K-0905,905,18
MLL-2O7O-0905,905,99
MLL-2O7P-0905,905,17
